DATE,IRLTLT01FRM156N
2005-01-01,3.5754
2005-02-01,3.599
2005-03-01,3.7514
2005-04-01,3.5428
2005-05-01,3.3768
2005-06-01,3.2017
2005-07-01,3.27
2005-08-01,3.2985
2005-09-01,3.132
2005-10-01,3.29
2005-11-01,3.4972
2005-12-01,3.3785
2006-01-01,3.3441
2006-02-01,3.508
2006-03-01,3.6854
2006-04-01,3.9535
2006-05-01,4.0014
2006-06-01,4.0062
2006-07-01,4.0252
2006-08-01,3.8975
2006-09-01,3.7694
2006-10-01,3.8075
2006-11-01,3.741
2006-12-01,3.8097
2007-01-01,4.0694
2007-02-01,4.096
2007-03-01,3.9968
2007-04-01,4.2079
2007-05-01,4.3368
2007-06-01,4.619
2007-07-01,4.5829
2007-08-01,4.3889
2007-09-01,4.3567
2007-10-01,4.4022
2007-11-01,4.2277
2007-12-01,4.3541
2008-01-01,4.15
2008-02-01,4.0792
2008-03-01,4.0194
2008-04-01,4.2699
2008-05-01,4.4059
2008-06-01,4.7337
2008-07-01,4.6903
2008-08-01,4.4018
2008-09-01,4.3619
2008-10-01,4.1836
2008-11-01,3.9767
2008-12-01,3.5395
2009-01-01,3.6016
2009-02-01,3.6781
2009-03-01,3.6474
2009-04-01,3.6591
2009-05-01,3.8045
2009-06-01,3.8997
2009-07-01,3.7329
2009-08-01,3.5874
2009-09-01,3.5869
2009-10-01,3.5579
2009-11-01,3.5552
2009-12-01,3.4751
2010-01-01,3.5157
2010-02-01,3.4981
2010-03-01,3.4374
2010-04-01,3.4016
2010-05-01,3.0757
2010-06-01,3.0732
2010-07-01,2.988
2010-08-01,2.6785
2010-09-01,2.6783
2010-10-01,2.7187
2010-11-01,2.9974
2010-12-01,3.3416
2011-01-01,3.4429
2011-02-01,3.6033
2011-03-01,3.6096
2011-04-01,3.69
2011-05-01,3.4892
2011-06-01,3.4305
2011-07-01,3.3994
2011-08-01,2.9845
2011-09-01,2.6444
2011-10-01,2.9925
2011-11-01,3.4075
2011-12-01,3.1589
2012-01-01,3.1797
2012-02-01,3.0158
2012-03-01,2.9542
2012-04-01,2.9935
2012-05-01,2.7518
2012-06-01,2.5694
2012-07-01,2.2752
2012-08-01,2.1194
2012-09-01,2.2372
2012-10-01,2.1857
2012-11-01,2.1397
2012-12-01,2.0103
2013-01-01,2.1652
2013-02-01,2.2446
2013-03-01,2.071
2013-04-01,1.8028
2013-05-01,1.8728
2013-06-01,2.2107
2013-07-01,2.2468
2013-08-01,2.3624
2013-09-01,2.4858
2013-10-01,2.3943
2013-11-01,2.265
2013-12-01,2.3308
2014-01-01,2.3841
2014-02-01,2.2527
2014-03-01,2.1519
2014-04-01,2.0257
2014-05-01,1.8384
2014-06-01,1.7119
2014-07-01,1.559
2014-08-01,1.4064
2014-09-01,1.3508
2014-10-01,1.2598
2014-11-01,1.1358
2014-12-01,0.9208
2015-01-01,0.6741
2015-02-01,0.5968
2015-03-01,0.5093
2015-04-01,0.435
2015-05-01,0.8888
2015-06-01,1.1955
2015-07-01,1.1136
2015-08-01,1.0051
2015-09-01,1.0046
2015-10-01,0.8652
2015-11-01,0.8831
2015-12-01,0.9312
2016-01-01,0.8428
2016-02-01,0.5923
2016-03-01,0.5093
2016-04-01,0.5142
2016-05-01,0.5095
2016-06-01,0.39
2016-07-01,0.1714
2016-08-01,0.1534
2016-09-01,0.1837
2016-10-01,0.3309
2016-11-01,0.6673
2016-12-01,0.7498
2017-01-01,0.8631
2017-02-01,1.0307
2017-03-01,1.0216
2017-04-01,0.8836
2017-05-01,0.8057
2017-06-01,0.6641
2017-07-01,0.8359
2017-08-01,0.7107
2017-09-01,0.699
2017-10-01,0.812
2017-11-01,0.7171
2017-12-01,0.6748
2018-01-01,0.859
2018-02-01,0.9818
2018-03-01,0.8352
2018-04-01,0.7784
2018-05-01,0.781
2018-06-01,0.754
2018-07-01,0.6653
2018-08-01,0.7045
2018-09-01,0.7658
2018-10-01,0.8229
2018-11-01,0.763
2018-12-01,0.6984
2019-01-01,0.6456
2019-02-01,0.5498
2019-03-01,0.437
2019-04-01,0.3718
2019-05-01,0.3045
2019-06-01,0.0791
2019-07-01,-0.069
2019-08-01,-0.3391
2019-09-01,-0.2757
2019-10-01,-0.1574
2019-11-01,-0.0204
2019-12-01,0.0362
2020-01-01,-0.007
2020-02-01,-0.1772
2020-03-01,-0.0584
2020-04-01,0.0578
2020-05-01,-0.0301
2020-06-01,-0.044
2020-07-01,-0.1478
2020-08-01,-0.1713
2020-09-01,-0.2072
2020-10-01,-0.2966
2020-11-01,-0.3262
2020-12-01,-0.3352
2021-01-01,-0.3052
2021-02-01,-0.1504
2021-03-01,-0.0701
2021-04-01,-0.0056
2021-05-01,0.2068
2021-06-01,0.153
2021-07-01,-0.0058
2021-08-01,-0.1143
2021-09-01,0.04
2021-10-01,0.2
2021-11-01,0.09
2021-12-01,0.05
2022-01-01,0.31
2022-02-01,0.68
