DATE,MANMM101EZM189S
2005-01-01,2965989000000.0
2005-02-01,2970119000000.0
2005-03-01,2997572000000.0
2005-04-01,3031049000000.0
2005-05-01,3064079000000.0
2005-06-01,3304862000000.0
2005-07-01,3320881000000.0
2005-08-01,3269142000000.0
2005-09-01,3323148000000.0
2005-10-01,3349922000000.0
2005-11-01,3379139000000.0
2005-12-01,3482137000000.0
2006-01-01,3444339000000.0
2006-02-01,3442605000000.0
2006-03-01,3469610000000.0
2006-04-01,3534458000000.0
2006-05-01,3552068000000.0
2006-06-01,3600681000000.0
2006-07-01,3574988000000.0
2006-08-01,3518324000000.0
2006-09-01,3583870000000.0
2006-10-01,3566556000000.0
2006-11-01,3612793000000.0
2006-12-01,3758611000000.0
2007-01-01,3685739000000.0
2007-02-01,3678110000000.0
2007-03-01,3738987000000.0
2007-04-01,3758614000000.0
2007-05-01,3780482000000.0
2007-06-01,3849587000000.0
2007-07-01,3836225000000.0
2007-08-01,3754392000000.0
2007-09-01,3827756000000.0
2007-10-01,3796032000000.0
2007-11-01,3836516000000.0
2007-12-01,3901280000000.0
2008-01-01,3851627000000.0
2008-02-01,3801133000000.0
2008-03-01,3852527000000.0
2008-04-01,3837533000000.0
2008-05-01,3868022000000.0
2008-06-01,3914925000000.0
2008-07-01,3839031000000.0
2008-08-01,3790298000000.0
2008-09-01,3877017000000.0
2008-10-01,3944467000000.0
2008-11-01,3969681000000.0
2008-12-01,4035742000000.0
2009-01-01,4096149999999.9995
2009-02-01,4101868000000.0005
2009-03-01,4130772000000.0
2009-04-01,4197569999999.9995
2009-05-01,4221129000000.0
2009-06-01,4311633000000.0
2009-07-01,4311001000000.0
2009-08-01,4317627999999.9995
2009-09-01,4379346999999.9995
2009-10-01,4434569000000.0
2009-11-01,4472348000000.0
2009-12-01,4556171000000.0
2010-01-01,4554112000000.0
2010-02-01,4538879000000.0
2010-03-01,4544318000000.0
2010-04-01,4625855000000.0
2010-05-01,4663769000000.0
2010-06-01,4713441000000.0
2010-07-01,4696209000000.0
2010-08-01,4663060000000.0
2010-09-01,4664407000000.0
2010-10-01,4671805000000.0
2010-11-01,4687752000000.0
2010-12-01,4754390000000.0
2011-01-01,4711971000000.0
2011-02-01,4677691000000.0
2011-03-01,4692936000000.0
2011-04-01,4726866000000.0
2011-05-01,4714712000000.0
2011-06-01,4769348000000.0
2011-07-01,4751436000000.0
2011-08-01,4732792000000.0
2011-09-01,4758480000000.0
2011-10-01,4765507000000.0
2011-11-01,4782428000000.0
2011-12-01,4866634000000.0
2012-01-01,4815736000000.0
2012-02-01,4781846000000.0
2012-03-01,4831826000000.0
2012-04-01,4837149000000.0
2012-05-01,4883085000000.0
2012-06-01,4958227000000.0
2012-07-01,4982750000000.0
2012-08-01,4979011000000.0
2012-09-01,5022848000000.0
2012-10-01,5056470000000.0
2012-11-01,5091616000000.0
2012-12-01,5151391000000.0
2013-01-01,5092404000000.0
2013-02-01,5101877000000.0
2013-03-01,5152532000000.0
2013-04-01,5221702000000.0
2013-05-01,5247022000000.0
2013-06-01,5291405000000.0
2013-07-01,5281271000000.0
2013-08-01,5307183000000.0
2013-09-01,5329052000000.0
2013-10-01,5365733000000.0
2013-11-01,5412907000000.0
2013-12-01,5425926000000.0
2014-01-01,5399965000000.0
2014-02-01,5409151000000.0
2014-03-01,5442028000000.0
2014-04-01,5479978000000.0
2014-05-01,5537554000000.0
2014-06-01,5582074000000.0
2014-07-01,5592578000000.0
2014-08-01,5629173000000.0
2014-09-01,5669000000000.0
2014-10-01,5707826000000.0
2014-11-01,5808011000000.0
2014-12-01,5967949000000.0
2015-01-01,6031110000000.0
2015-02-01,6061481000000.0
2015-03-01,6119643000000.0
2015-04-01,6203809000000.0
2015-05-01,6302868000000.0
2015-06-01,6361568000000.0
2015-07-01,6408579000000.0
2015-08-01,6416268000000.0
2015-09-01,6438391000000.0
2015-10-01,6525535000000.0
2015-11-01,6592452000000.0
2015-12-01,6631821000000.0
2016-01-01,6666033000000.0
2016-02-01,6688444000000.0
2016-03-01,6721636000000.0
2016-04-01,6815412000000.0
2016-05-01,6867588000000.0
2016-06-01,6901555000000.0
2016-07-01,6967678000000.0
2016-08-01,6961951000000.0
2016-09-01,6984640000000.0
2016-10-01,7043699000000.0
2016-11-01,7145988000000.0
2016-12-01,7194127000000.0
2017-01-01,7183654000000.0
2017-02-01,7218434000000.0
2017-03-01,7309107000000.0
2017-04-01,7406433000000.0
2017-05-01,7436957000000.0
2017-06-01,7515757000000.0
2017-07-01,7544127000000.0
2017-08-01,7571612000000.0
2017-09-01,7620421000000.0
2017-10-01,7646118000000.0
2017-11-01,7723960000000.0
2017-12-01,7786269000000.0
2018-01-01,7767191000000.0
2018-02-01,7777065000000.0
2018-03-01,7840111000000.0
2018-04-01,7892058000000.0
2018-05-01,7994793000000.0
2018-06-01,8086608000000.0
2018-07-01,8080584000000.0
2018-08-01,8082059000000.0
2018-09-01,8152423000000.0
2018-10-01,8160036000000.0
2018-11-01,8256528000000.0
2018-12-01,8301611999999.999
2019-01-01,8262852999999.999
2019-02-01,8303882000000.0
2019-03-01,8441675999999.999
2019-04-01,8487641000000.0
2019-05-01,8574985000000.001
2019-06-01,8669096000000.0
2019-07-01,8697816999999.999
2019-08-01,8786646000000.001
2019-09-01,8788791999999.999
2019-10-01,8846017000000.0
2019-11-01,8971689000000.0
2019-12-01,8975336000000.0
2020-01-01,8927390000000.0
2020-02-01,9012690000000.0
2020-03-01,9312555000000.0
2020-04-01,9490647000000.0
2020-05-01,9681996000000.0
2020-06-01,9768864000000.0
2020-07-01,9813114000000.0
2020-08-01,9855981000000.0
2020-09-01,9923458000000.0
2020-10-01,10025312000000.0
2020-11-01,10167497000000.0
2020-12-01,10278865000000.0
2021-01-01,10326160000000.0
2021-02-01,10398678000000.0
2021-03-01,10490224000000.0
2021-04-01,10569919000000.0
2021-05-01,10684354000000.0
2021-06-01,10811168000000.0
2021-07-01,10914930000000.0
2021-08-01,10956607000000.0
2021-09-01,11035368000000.0
2021-10-01,11103880000000.0
2021-11-01,11195946000000.0
2021-12-01,11299283000000.0
2022-01-01,11240604000000.0
